Year,It,It/Kt
1947,1.238211792,0.451769
1948,0.839717148,0.404151845
1949,0.543114973,0.300105838
1950,0.19982238,0.109397042
1951,0.276243094,0.15265971
1952,0.451965524,0.245780157
1953,0.788828483,0.415312969
1954,0.994288132,0.617592464
1955,1.226762291,13.98854946
1956,0.837130444,-0.000586683
1957,1.052740221,-0.000820245
1958,1.440126258,-0.001247777
1959,1.762674905,-0.001699059
1960,0.983169472,-0.001054777
1961,0.611418657,-0.000729603
1962,0.731377693,-0.00097043
1963,0.939180489,-0.00138596
1964,2.247572486,-0.003690414
1965,2.163391451,-0.003961498
1966,2.726435037,-0.005569301
1967,2.108953614,-0.004813435
1968,2.935827488,-0.0074812
1969,2.946696697,-0.008406083
1970,2.705510175,-0.008648272
1971,2.855251962,-0.010229454
1972,2.745227745,-0.011040945
1973,3.378811464,-0.015267471
1974,3.368448433,-0.017173621
1975,3.241388077,-0.018682238
1976,3.004364592,-0.01960556
1977,3.585474019,-0.026515986
1978,3.598169717,-0.030368025
1979,3.609536512,-0.034902296
1980,4.038637688,-0.044946638
1981,4.312432162,-0.055800951
1982,4.653670676,-0.070775177
1983,5.293901393,-0.096029352
1984,5.771693884,-0.127859053
1985,5.569215158,-0.154727266
1986,5.901380374,-0.209452525
1987,6.232274278,-0.288709435
1988,5.853809622,-0.346187999
1989,6.454151909,-0.456978535
1990,7.180859436,-0.481271344
1991,7.967164179,-0.472536523
1992,7.439629238,-0.400256232
1993,6.236215129,-0.364196924
1994,7.424423413,-0.504407302
1995,8.484148376,-0.476565122
1996,9.466331599,-0.476901448
1997,9.798474946,-0.442308285
1998,8.811795605,-0.391235581
1999,9.586877278,-0.470776482
2000,8.336442161,-0.373170724
2001,9.114695033,-0.467205813
2002,11.60267112,-0.547534315
2003,11.59436494,-0.395410619
2004,11.6128944,-0.43429948
2005,11.9437751,-0.44826608
2006,12.23892684,-0.444918877
2007,12.73389634,-0.452275354
2008,12.40649858,-0.422350941
2009,11.58735612,-0.407473101
2010,12.43646721,-0.467359781
2011,13.43073488,-0.464469171
2012,15.02289602,-0.481906928
2013,15.50839278,-0.439444267
2014,16.8672854,-0.473526012
2015,18.78967016,-0.477165274
2016,20.58286284,-0.468005205
